kernel;version;threads;size;tap;time-min;time-max;time-mean;cycles;instructions;cache-references;cache-misses;branch-instructions;branch-misses
triad;omp;4;4194304;;16.933;17.369;17.1346;403491291;185053890;42808668;701010;20471201;245573
triad;hybrid;4;4194304;;12.975;13.274;13.1069;382107595;164962637;35439901;683035;17296966;246137
triad;seq;1;8388608;;131.310;132.644;131.888;779999360;346807016;81562579;1668722;37168845;443046
triad;neon;1;8388608;;71.812;73.349;72.55;701414969;305070207;66903350;1284185;30919556;441456
triad;omp;2;8388608;;64.377;67.886;66.3689;771580227;343294894;80851603;1543334;36502376;455449
triad;hybrid;2;8388608;;39.987;41.392;40.7444;703554138;303086743;66100762;1274158;30153949;453730
triad;omp;3;8388608;;43.211;45.200;44.2098;777797215;350293648;82041576;1374790;37628376;462093
triad;hybrid;3;8388608;;30.477;31.079;30.726;724092533;309091737;67130108;1283687;31104758;462277
triad;omp;4;8388608;;33.664;34.389;33.91;789290599;354281745;82763473;1329757;38310108;468654
triad;hybrid;4;8388608;;25.778;26.399;25.9846;747316115;314364281;68063482;1298773;32005099;467936
triad;seq;1;16777216;;260.963;266.027;263.096;1544170214;685720739;161711877;3219359;72943372;878213
triad;neon;1;16777216;;141.508;146.269;144.106;1385538289;601066302;132197393;2440399;60240190;875385
triad;omp;2;16777216;;125.535;130.579;126.677;1515902528;682342452;160937722;2559488;72220546;906976
triad;hybrid;2;16777216;;78.918;81.467;79.5702;1390501363;601648547;131395951;2322418;59475275;906165
triad;omp;3;16777216;;86.081;90.612;88.4507;1536441686;689117836;162094916;2597608;73256283;917629
triad;hybrid;3;16777216;;60.397;61.728;61.1357;1430518479;609874677;132794993;2450430;60747098;916254
triad;omp;4;16777216;;67.068;70.177;68.0907;1558764340;697064437;163496151;2529169;74629840;925199
triad;hybrid;4;16777216;;50.509;52.071;51.6286;1472569942;615840280;133869325;2470102;61786239;925066
matmul;seq;1;16;;0.028;0.051;0.0297;4213824;2840098;742837;18327;403891;27073
